RepaymentID,DateKey,AccountID,BranchID,ProductCode,EMIAmount,OutstandingBalance
REP0000046,20240306,ACC0068887,BR0151,VL001,1061,934811
REP0000047,20230831,ACC0094832,BR0339,BL001,5165,3841203
REP0000048,20230922,ACC0046061,BR0183,VL001,11434,3950649
REP0000049,20250303,ACC0025074,BR0252,EL001,28687,4123397
REP0000050,20240123,ACC0087323,BR0142,EL001,28840,769410
REP0000051,20230923,ACC0034938,BR0032,HL001,18758,2799809
REP0000052,20241104,ACC0024279,BR0449,PL001,27129,2777320
REP0000053,20251103,ACC0041733,BR0348,PL001,8831,1141011
REP0000054,20250701,ACC0039080,BR0198,EL001,16179,2896050
REP0000055,20240302,ACC0058654,BR0294,EL001,37161,128441
REP0000056,20250704,ACC0052692,BR0227,HL001,36250,170975
REP0000057,20230507,ACC0022258,BR0498,PL001,38950,4394023
REP0000058,20241130,ACC0024738,BR0099,HL001,45439,1520736
REP0000059,20250311,ACC0005646,BR0442,BL001,7650,2017315
REP0000060,20230904,ACC0021592,BR0287,BL001,11736,56352
REP0000061,20250603,ACC0061405,BR0270,BL001,30702,1796888
REP0000062,20231015,ACC0076277,BR0024,VL001,15270,2877127
REP0000063,20241019,ACC0015994,BR0397,VL001,45000,3585331
REP0000064,20231202,ACC0062312,BR0143,EL001,36442,1239562
REP0000065,20240906,ACC0000358,BR0068,VL001,22246,132550
REP0000066,20250926,ACC0017511,BR0311,PL001,37680,4082451
REP0000067,20230210,ACC0004061,BR0076,VL001,30350,346431
REP0000068,20230310,ACC0016444,BR0229,VL001,9104,2803979
REP0000069,20250524,ACC0046856,BR0068,BL001,38748,4867315
REP0000070,20250516,ACC0015945,BR0045,EL001,47632,3879614
REP0000071,20251003,ACC0090040,BR0178,PL001,42714,2925813
REP0000072,20230928,ACC0031602,BR0381,VL001,30364,576889
REP0000073,20240513,ACC0008753,BR0443,HL001,30476,2383617
REP0000074,20240323,ACC0097021,BR0333,HL001,42154,541686
REP0000075,20231017,ACC0010475,BR0425,PL001,10965,940805
REP0000076,20250515,ACC0047564,BR0372,BL001,31106,4441255
REP0000077,20250223,ACC0094048,BR0427,BL001,6717,2267842
REP0000078,20230117,ACC0055734,BR0376,VL001,13791,2249345
REP0000079,20240328,ACC0099929,BR0245,EL001,7320,2509652
REP0000080,20240401,ACC0078855,BR0327,HL001,41750,4116937
REP0000081,20230127,ACC0072287,BR0108,BL001,41528,3913586
REP0000082,20240724,ACC0080881,BR0193,EL001,37921,482351
REP0000083,20250425,ACC0019553,BR0221,HL001,21284,2376014
REP0000084,20241116,ACC0090200,BR0249,PL001,1924,1305281
REP0000085,20240729,ACC0066717,BR0192,PL001,22624,3985290
REP0000086,20241105,ACC0097088,BR0171,VL001,29253,2139308
REP0000087,20250823,ACC0055677,BR0349,HL001,45122,1414536
REP0000088,20230319,ACC0040380,BR0345,HL001,23560,1330063
REP0000089,20230422,ACC0065595,BR0468,BL001,19197,1432417
REP0000090,20250513,ACC0065747,BR0013,BL001,14599,804363
REP0000091,20230109,ACC0011765,BR0332,HL001,35327,4477414
REP0000092,20230901,ACC0085557,BR0418,VL001,37048,961527
REP0000093,20250926,ACC0065016,BR0084,HL001,39700,1144905
REP0000094,20240530,ACC0042496,BR0338,EL001,22420,808160
REP0000095,20230331,ACC0033960,BR0048,PL001,26690,1877446
REP0000096,20250916,ACC0010744,BR0037,HL001,48346,2829921
REP0000097,20241103,ACC0020911,BR0338,HL001,35880,3187922
REP0000098,20230716,ACC0078270,BR0042,HL001,15958,3009842
REP0000099,20251213,ACC0023008,BR0435,BL001,33319,2244565
REP0000100,20251001,ACC0049723,BR0448,PL001,49012,621760
REP0000101,20240416,ACC0040131,BR0056,BL001,32458,2953481
REP0000102,20250504,ACC0088400,BR0421,EL001,45094,1336746
REP0000103,20230208,ACC0082144,BR0183,HL001,8405,1244844
REP0000104,20231008,ACC0043814,BR0181,EL001,43910,1502871
REP0000105,20230701,ACC0035606,BR0264,EL001,2351,2969487
REP0000106,20241125,ACC0050131,BR0140,HL001,29286,1673639
REP0000107,20250825,ACC0000732,BR0228,PL001,12651,474745
REP0000108,20240826,ACC0084850,BR0050,PL001,31137,479939
REP0000109,20230314,ACC0089888,BR0449,BL001,22214,4684037
REP0000110,20240905,ACC0007707,BR0068,PL001,22648,2910556
REP0000111,20250221,ACC0066346,BR0227,EL001,19836,1107287
REP0000112,20251215,ACC0033543,BR0422,BL001,47987,3465676
REP0000113,20230806,ACC0062194,BR0483,EL001,18942,1654747
REP0000114,20240813,ACC0052267,BR0042,EL001,25766,1463389
REP0000115,20231109,ACC0086745,BR0432,EL001,45190,3702207
REP0000116,20251029,ACC0010133,BR0271,PL001,18431,2071263
REP0000117,20250107,ACC0087326,BR0419,PL001,40361,2593324
REP0000118,20241101,ACC0018403,BR0140,BL001,11233,2390540
REP0000119,20231028,ACC0035652,BR0231,HL001,40868,4599651
REP0000120,20250804,ACC0060399,BR0135,HL001,2982,1816170
REP0000121,20250221,ACC0079260,BR0084,VL001,49283,4266356
REP0000122,20240324,ACC0068567,BR0295,PL001,5367,2523789
REP0000123,20230906,ACC0018205,BR0415,PL001,19925,1917457
REP0000124,20241109,ACC0089430,BR0470,BL001,29845,2983707
REP0000125,20230528,ACC0099952,BR0422,EL001,27739,3630916
REP0000126,20250906,ACC0001796,BR0388,VL001,12245,1879318
REP0000127,20241020,ACC0084960,BR0265,BL001,39012,3904095
REP0000128,20230412,ACC0035305,BR0033,EL001,39347,3742166
REP0000129,20250721,ACC0021016,BR0495,EL001,21935,2782954
REP0000130,20241206,ACC0088330,BR0387,EL001,24225,263974
REP0000131,20240405,ACC0060179,BR0447,BL001,24395,3790310
REP0000132,20230821,ACC0030081,BR0071,HL001,21208,1596128
REP0000133,20251113,ACC0018495,BR0431,BL001,32395,920340
REP0000134,20251123,ACC0099699,BR0106,EL001,48743,3698604
REP0000135,20240113,ACC0055128,BR0087,PL001,31924,4844129
REP0000136,20250916,ACC0080542,BR0328,BL001,40532,3776945
REP0000137,20250501,ACC0084501,BR0343,PL001,27969,2620851
REP0000138,20230210,ACC0063139,BR0198,VL001,35825,2925553
REP0000139,20230714,ACC0074604,BR0063,BL001,22431,3375605
REP0000140,20240405,ACC0076274,BR0139,EL001,36889,4249256
REP0000141,20251010,ACC0049600,BR0315,BL001,35822,2099419
REP0000142,20250519,ACC0040637,BR0439,HL001,42961,120798
REP0000143,20231009,ACC0061970,BR0077,PL001,42255,2401484
REP0000144,20241117,ACC0010994,BR0034,BL001,30223,2323276
REP0000145,20240911,ACC0031860,BR0150,VL001,3554,2164547
REP0000146,20231116,ACC0005380,BR0229,HL001,38113,2077738
REP0000147,20231013,ACC0026430,BR0446,PL001,37086,3303258
REP0000148,20231119,ACC0091043,BR0371,HL001,2983,3974751
REP0000149,20240927,ACC0010445,BR0310,PL001,12373,4470638
REP0000150,20240906,ACC0026368,BR0241,VL001,33080,1612507
REP0000151,20230804,ACC0014034,BR0479,BL001,4755,3884744
REP0000152,20250817,ACC0011182,BR0464,HL001,10706,1109703
REP0000153,20230317,ACC0052342,BR0237,VL001,25520,2225079
REP0000154,20230502,ACC0020406,BR0309,HL001,21972,3948463
REP0000155,20231101,ACC0032689,BR0327,BL001,33760,3887863
REP0000156,20251229,ACC0028103,BR0340,HL001,15808,3880621
REP0000157,20231110,ACC0032003,BR0390,EL001,39078,3345638
REP0000158,20250704,ACC0083100,BR0336,VL001,31542,191641
REP0000159,20250706,ACC0060197,BR0060,VL001,31559,339807
REP0000160,20240921,ACC0049599,BR0222,EL001,11794,75730
REP0000161,20230530,ACC0080275,BR0445,VL001,9822,4931234
REP0000162,20241217,ACC0063349,BR0320,PL001,24193,4081961
REP0000163,20230410,ACC0092733,BR0289,EL001,45935,3006250
REP0000164,20250613,ACC0027984,BR0025,VL001,15363,4044018
REP0000165,20231204,ACC0011688,BR0093,BL001,3660,2936846
REP0000166,20231128,ACC0020483,BR0064,BL001,34407,732725
REP0000167,20231218,ACC0083305,BR0088,VL001,43814,924368
REP0000168,20240320,ACC0082415,BR0080,EL001,35634,1613862
REP0000169,20250715,ACC0041446,BR0476,PL001,5181,3528326
REP0000170,20250924,ACC0041831,BR0107,VL001,37930,1075142
REP0000171,20250821,ACC0026339,BR0184,VL001,14378,4751609
REP0000172,20250108,ACC0028399,BR0439,HL001,16087,3722599
REP0000173,20230424,ACC0011998,BR0486,HL001,41140,311382
REP0000174,20230909,ACC0003539,BR0122,EL001,31301,3671574
REP0000175,20230207,ACC0010028,BR0173,HL001,39334,539263
REP0000176,20230228,ACC0006358,BR0284,BL001,43326,3778888
REP0000177,20240429,ACC0061024,BR0140,EL001,37936,1344670
REP0000178,20250304,ACC0044679,BR0270,BL001,40073,3216878
REP0000179,20240809,ACC0048029,BR0252,BL001,11890,2527411
REP0000180,20240718,ACC0081719,BR0408,VL001,17138,4210023
REP0000181,20240103,ACC0075149,BR0325,EL001,41963,3009350
REP0000182,20250912,ACC0006780,BR0229,HL001,8291,3774265
REP0000183,20240108,ACC0063474,BR0264,BL001,49278,1170853
REP0000184,20250723,ACC0085309,BR0107,BL001,43932,2559822
REP0000185,20250916,ACC0087966,BR0494,VL001,42973,532868
REP0000186,20231126,ACC0090272,BR0213,PL001,47928,2362017
REP0000187,20250811,ACC0063081,BR0024,EL001,4414,3358373
REP0000188,20250129,ACC0017143,BR0493,HL001,10577,1865351
REP0000189,20230624,ACC0044354,BR0016,HL001,36183,14611
REP0000190,20231020,ACC0081856,BR0215,BL001,37847,2183645
REP0000191,20230424,ACC0097436,BR0482,VL001,37832,391679
REP0000192,20230130,ACC0027932,BR0247,HL001,11262,1934150
REP0000193,20231108,ACC0006499,BR0247,PL001,38845,4731867
REP0000194,20250104,ACC0061609,BR0227,BL001,26415,1824586
REP0000195,20240626,ACC0023895,BR0152,PL001,12955,3997434
REP0000196,20240418,ACC0093850,BR0270,HL001,44435,940969
REP0000197,20240611,ACC0072227,BR0454,PL001,13468,2995640
REP0000198,20250917,ACC0000215,BR0320,BL001,46560,440563
REP0000199,20250308,ACC0067332,BR0479,BL001,1113,913455
REP0000200,20251102,ACC0059432,BR0344,VL001,29022,3125817
REP0000201,20231012,ACC0047788,BR0157,BL001,24504,1913926
REP0000202,20230828,ACC0062532,BR0009,HL001,49327,37580
REP0000203,20230514,ACC0063639,BR0351,BL001,7475,3667802
REP0000204,20240421,ACC0037053,BR0398,PL001,16665,1246177
REP0000205,20250323,ACC0028191,BR0478,VL001,38744,2430335
REP0000206,20230202,ACC0095540,BR0112,VL001,41169,4631130
REP0000207,20250423,ACC0005353,BR0473,HL001,30173,4870887
REP0000208,20230212,ACC0046860,BR0116,HL001,1039,3636472
REP0000209,20230223,ACC0015663,BR0395,PL001,4389,1869279
REP0000210,20230630,ACC0068199,BR0335,VL001,19154,1540019
REP0000211,20250409,ACC0069777,BR0306,BL001,6320,4272588
REP0000212,20230609,ACC0022846,BR0230,PL001,43588,4673438
REP0000213,20230307,ACC0024834,BR0215,VL001,3005,3235133
REP0000214,20250122,ACC0039917,BR0178,PL001,25448,2763741
REP0000215,20230927,ACC0081993,BR0438,PL001,47000,979919
REP0000216,20230723,ACC0033703,BR0041,EL001,40973,2357494
REP0000217,20240523,ACC0099096,BR0119,EL001,19773,1650875
REP0000218,20240911,ACC0010728,BR0003,VL001,38139,1687761
REP0000219,20241107,ACC0023113,BR0079,PL001,44407,1151967
REP0000220,20230502,ACC0045359,BR0429,HL001,6314,1771621
REP0000221,20250119,ACC0040177,BR0223,EL001,28252,1024665
REP0000222,20230911,ACC0071468,BR0323,BL001,7710,3113447
REP0000223,20230309,ACC0017576,BR0011,EL001,49400,1838524
REP0000224,20230330,ACC0074130,BR0081,EL001,2496,645556
REP0000225,20250214,ACC0068799,BR0155,HL001,45404,1334814
REP0000226,20230219,ACC0078064,BR0168,VL001,40524,761746
REP0000227,20230420,ACC0052945,BR0214,VL001,25108,3259515
REP0000228,20240324,ACC0062370,BR0272,PL001,34423,160148
REP0000229,20251007,ACC0005161,BR0459,BL001,40350,2970665
REP0000230,20250714,ACC0020518,BR0289,HL001,12419,1679793
REP0000231,20231028,ACC0076310,BR0466,HL001,49605,4682591
REP0000232,20250618,ACC0092533,BR0104,PL001,20882,2666580
REP0000233,20241003,ACC0079628,BR0444,EL001,12115,590548
REP0000234,20230409,ACC0037413,BR0411,PL001,15108,138172
REP0000235,20250118,ACC0062955,BR0373,BL001,35733,2317593
REP0000236,20250423,ACC0082940,BR0450,VL001,27231,1736982
REP0000237,20240523,ACC0030472,BR0368,VL001,40682,1286179
REP0000238,20250222,ACC0034188,BR0084,HL001,20446,4045245
REP0000239,20241108,ACC0070885,BR0163,PL001,34261,1164245
REP0000240,20241002,ACC0042429,BR0176,BL001,39298,4895398
REP0000241,20250221,ACC0075091,BR0218,VL001,20698,2547725
REP0000242,20241128,ACC0072655,BR0387,EL001,26144,4731738
REP0000243,20241212,ACC0068829,BR0013,HL001,39164,4902482
REP0000244,20250920,ACC0084072,BR0199,PL001,16675,4526534
REP0000245,20230206,ACC0056307,BR0119,PL001,35740,1590818
REP0000246,20241102,ACC0025303,BR0348,VL001,45144,4066810
REP0000247,20230320,ACC0020724,BR0150,EL001,6954,1348103
REP0000248,20230705,ACC0011582,BR0343,HL001,32773,3930685
REP0000249,20230818,ACC0083214,BR0326,EL001,11454,832756
REP0000250,20230527,ACC0012191,BR0422,PL001,47435,2814871
REP0000251,20241205,ACC0029894,BR0486,HL001,2644,148431
REP0000252,20250410,ACC0077624,BR0432,VL001,42897,4486137
REP0000253,20240213,ACC0015586,BR0417,EL001,35574,944548
REP0000254,20230218,ACC0018169,BR0349,VL001,30052,1679290
REP0000255,20230120,ACC0013177,BR0388,EL001,11951,556917
REP0000256,20241108,ACC0018898,BR0013,BL001,46927,3695662
REP0000257,20231117,ACC0043398,BR0311,EL001,31747,685755
REP0000258,20250716,ACC0001397,BR0163,VL001,5373,2164557
REP0000259,20230922,ACC0082078,BR0147,EL001,40811,2587044
REP0000260,20240919,ACC0001313,BR0300,PL001,39333,1844943
REP0000261,20251224,ACC0089209,BR0237,PL001,9649,542955
REP0000262,20230525,ACC0058616,BR0470,HL001,6119,3444275
REP0000263,20240117,ACC0062331,BR0299,HL001,42216,1489632
REP0000264,20230111,ACC0078094,BR0259,HL001,34118,127319
REP0000265,20230123,ACC0023426,BR0226,BL001,25788,4002400
REP0000266,20250225,ACC0051420,BR0306,BL001,32284,3586836
REP0000267,20240625,ACC0083996,BR0476,BL001,7849,2233314
REP0000268,20240413,ACC0009336,BR0060,PL001,37468,2649097
REP0000269,20240524,ACC0035768,BR0490,VL001,21463,3177282
REP0000270,20230419,ACC0048885,BR0487,VL001,31604,3073365
REP0000271,20240522,ACC0073771,BR0388,EL001,49609,3704973
REP0000272,20240818,ACC0007607,BR0068,PL001,37479,4494581
REP0000273,20250814,ACC0063206,BR0133,HL001,15673,2426550
REP0000274,20240324,ACC0069244,BR0103,EL001,9038,3553917
REP0000275,20251124,ACC0024060,BR0353,PL001,7498,342024
REP0000276,20230409,ACC0071042,BR0346,EL001,16979,1267463
REP0000277,20250612,ACC0041936,BR0284,PL001,18126,2382301
REP0000278,20230713,ACC0044393,BR0186,VL001,18875,3797888
REP0000279,20241022,ACC0068668,BR0472,BL001,13791,2007768
REP0000280,20230111,ACC0091970,BR0477,EL001,10641,549346
REP0000281,20241204,ACC0014156,BR0136,VL001,9375,1600345
REP0000282,20251211,ACC0042541,BR0495,HL001,2445,2717427
REP0000283,20230808,ACC0092418,BR0251,BL001,2081,793060
REP0000284,20230128,ACC0027035,BR0481,HL001,13461,4060950
REP0000285,20250926,ACC0074454,BR0479,EL001,7118,1429936
REP0000286,20230706,ACC0097349,BR0455,BL001,14904,4326731
REP0000287,20241205,ACC0053290,BR0392,PL001,39591,408772
REP0000288,20230916,ACC0007700,BR0489,VL001,21810,4458677
REP0000289,20251118,ACC0034089,BR0400,HL001,14268,3926233
REP0000290,20241025,ACC0076774,BR0192,PL001,26116,4366481
REP0000291,20250224,ACC0096329,BR0029,EL001,48124,2697530
REP0000292,20250827,ACC0000860,BR0365,EL001,49477,1820753
REP0000293,20250928,ACC0019698,BR0497,EL001,46443,2406711
REP0000294,20230108,ACC0024326,BR0378,VL001,30113,3913134
REP0000295,20231119,ACC0053732,BR0241,VL001,19929,3522167
REP0000296,20250227,ACC0046221,BR0192,PL001,26722,3814491
REP0000297,20250731,ACC0058264,BR0344,PL001,17879,909534
REP0000298,20250520,ACC0065460,BR0311,EL001,23476,1550819
REP0000299,20250321,ACC0054276,BR0307,EL001,1951,846228
REP0000300,20240101,ACC0018886,BR0092,VL001,47893,710292
REP0000301,20240616,ACC0074958,BR0316,HL001,19079,624621
REP0000302,20230719,ACC0028302,BR0014,VL001,6935,2422604
REP0000303,20250309,ACC0034614,BR0374,HL001,12484,2195304
REP0000304,20231111,ACC0089765,BR0289,BL001,29005,2100269
REP0000305,20250412,ACC0006312,BR0195,BL001,46581,1632251
REP0000306,20250310,ACC0023885,BR0363,BL001,22369,2840597
REP0000307,20240301,ACC0021151,BR0340,PL001,14958,4107936
REP0000308,20240420,ACC0048711,BR0218,EL001,9716,1251307
REP0000309,20240224,ACC0089279,BR0369,VL001,47987,46154
REP0000310,20240723,ACC0090008,BR0385,EL001,4996,1652308
REP0000311,20241029,ACC0015847,BR0054,EL001,24783,3370659
REP0000312,20250528,ACC0072525,BR0105,VL001,21789,1511995
REP0000313,20251103,ACC0091637,BR0404,VL001,18033,2587094
REP0000314,20240413,ACC0061399,BR0332,HL001,23759,3604194
REP0000315,20231216,ACC0024201,BR0435,BL001,35129,762671
REP0000316,20230621,ACC0054251,BR0102,PL001,2148,4335736
REP0000317,20240822,ACC0038807,BR0033,VL001,42668,2051197
REP0000318,20230301,ACC0023182,BR0095,EL001,36123,3059069
REP0000319,20240606,ACC0055760,BR0401,BL001,23730,2322305
REP0000320,20231021,ACC0037756,BR0076,HL001,43528,4795976
REP0000321,20251023,ACC0066865,BR0168,HL001,34129,1694642
REP0000322,20230202,ACC0085354,BR0440,HL001,47457,70737
REP0000323,20251104,ACC0089888,BR0141,PL001,40856,365427
REP0000324,20250728,ACC0046341,BR0105,EL001,19690,4611018
REP0000325,20231130,ACC0057856,BR0208,BL001,46640,4291569
REP0000326,20240304,ACC0074507,BR0185,BL001,24324,3505102
REP0000327,20250323,ACC0035770,BR0424,PL001,10975,2885191
REP0000328,20231126,ACC0005875,BR0064,HL001,43554,4558945
REP0000329,20251006,ACC0066492,BR0292,VL001,19940,2139457
REP0000330,20240421,ACC0074607,BR0314,HL001,7415,3740002
REP0000331,20240308,ACC0089562,BR0490,BL001,10988,1400456
REP0000332,20231022,ACC0094952,BR0363,BL001,32625,4908590
REP0000333,20240127,ACC0055628,BR0452,EL001,22152,2207078
REP0000334,20241116,ACC0011676,BR0370,VL001,38071,1554882
REP0000335,20250518,ACC0000742,BR0445,BL001,21012,3602143
REP0000336,20231027,ACC0084687,BR0345,EL001,10885,3088393
REP0000337,20230216,ACC0094722,BR0187,BL001,42785,3226919
REP0000338,20230715,ACC0018271,BR0396,VL001,36468,2326814
REP0000339,20230515,ACC0048824,BR0218,VL001,11540,1555943
REP0000340,20240729,ACC0045507,BR0282,PL001,16902,1578306
REP0000341,20230819,ACC0021142,BR0011,BL001,37377,2893290
REP0000342,20250128,ACC0095755,BR0066,VL001,26788,1216269
REP0000343,20230225,ACC0042675,BR0122,PL001,39420,587236
REP0000344,20250924,ACC0051885,BR0445,HL001,10041,335159
REP0000345,20250106,ACC0038990,BR0486,VL001,28246,1254485
REP0000346,20250920,ACC0019045,BR0309,BL001,28210,4687291
REP0000347,20230226,ACC0041531,BR0021,EL001,18534,67919
REP0000348,20250106,ACC0065900,BR0340,PL001,27791,1358096
REP0000349,20240306,ACC0087390,BR0124,PL001,18668,3510722
REP0000350,20250726,ACC0019130,BR0253,EL001,11684,4671544
REP0000351,20240311,ACC0000931,BR0213,EL001,38079,3397540
REP0000352,20250107,ACC0068084,BR0150,EL001,6422,2377474
REP0000353,20250425,ACC0035888,BR0063,PL001,48564,891196
REP0000354,20240827,ACC0057549,BR0368,BL001,49045,2906879
REP0000355,20240818,ACC0064000,BR0039,PL001,4836,939022
REP0000356,20250124,ACC0011709,BR0075,PL001,20183,2414339
REP0000357,20230204,ACC0006302,BR0076,HL001,31768,4690103
REP0000358,20250916,ACC0083447,BR0314,HL001,46150,2155182
REP0000359,20240730,ACC0000939,BR0293,PL001,28070,2412011
REP0000360,20250501,ACC0067478,BR0439,VL001,3785,1377827
REP0000361,20240830,ACC0011255,BR0312,HL001,44445,1881881
REP0000362,20241228,ACC0067662,BR0360,PL001,19508,4903360
REP0000363,20250119,ACC0031924,BR0448,VL001,25633,171996
REP0000364,20240325,ACC0086826,BR0344,EL001,37907,1213261
REP0000365,20240413,ACC0077879,BR0090,EL001,3419,280292
REP0000366,20241207,ACC0020061,BR0367,PL001,32493,4342092
REP0000367,20240906,ACC0092979,BR0169,PL001,2911,1425476
REP0000368,20230417,ACC0029336,BR0290,PL001,3391,1610916
REP0000369,20240303,ACC0068830,BR0282,EL001,21874,2746885
REP0000370,20240204,ACC0008889,BR0127,PL001,29491,4561365
REP0000371,20230813,ACC0000460,BR0234,PL001,46935,570372
REP0000372,20230210,ACC0061141,BR0400,HL001,46593,885466
REP0000373,20230202,ACC0089554,BR0421,HL001,46572,2295337
REP0000374,20230320,ACC0065020,BR0047,HL001,12436,4426512
REP0000375,20241019,ACC0012330,BR0086,EL001,26421,4493376
REP0000376,20230626,ACC0086281,BR0369,BL001,42826,4150969
REP0000377,20240928,ACC0019005,BR0150,HL001,13048,3252293
REP0000378,20250719,ACC0026883,BR0115,EL001,12552,361887
REP0000379,20231025,ACC0044520,BR0130,BL001,19365,2776219
REP0000380,20230124,ACC0039621,BR0079,HL001,49026,1732905
REP0000381,20230501,ACC0038463,BR0084,VL001,20126,3102547
REP0000382,20230317,ACC0086459,BR0491,BL001,28228,4663961
REP0000383,20230125,ACC0044687,BR0119,VL001,41197,4444315
REP0000384,20230104,ACC0094258,BR0095,VL001,9306,2759248
REP0000385,20240723,ACC0018699,BR0461,BL001,7551,1531147
REP0000386,20251119,ACC0026960,BR0483,EL001,31779,1830870
REP0000387,20230922,ACC0081868,BR0010,VL001,36824,4662684
REP0000388,20250405,ACC0084583,BR0079,EL001,23528,2105441
REP0000389,20250610,ACC0073682,BR0432,HL001,8012,3797907
REP0000390,20231227,ACC0088752,BR0443,VL001,41368,406003
REP0000391,20230321,ACC0045279,BR0118,VL001,6013,2040558
REP0000392,20240306,ACC0060753,BR0045,PL001,5614,4626729
REP0000393,20230110,ACC0051619,BR0404,EL001,18544,1077223
REP0000394,20251015,ACC0095291,BR0488,BL001,44751,1067881
REP0000395,20230721,ACC0079922,BR0352,EL001,26027,4723912
REP0000396,20230308,ACC0044339,BR0432,HL001,13433,2083789
REP0000397,20250323,ACC0029675,BR0230,BL001,46460,2764967
REP0000398,20240329,ACC0020120,BR0046,EL001,28844,3801075
REP0000399,20250709,ACC0009017,BR0174,HL001,46565,234584
REP0000400,20251230,ACC0020715,BR0003,EL001,22960,3867307
REP0000401,20240521,ACC0061449,BR0356,EL001,48075,567445
REP0000402,20241016,ACC0057311,BR0441,HL001,18694,4725812
REP0000403,20240906,ACC0052478,BR0179,BL001,25322,2982082
REP0000404,20230704,ACC0035769,BR0226,BL001,48517,2551922
REP0000405,20250127,ACC0019193,BR0178,HL001,1937,3742946
REP0000406,20250922,ACC0068127,BR0255,HL001,36485,4088875
REP0000407,20241006,ACC0037146,BR0344,EL001,38472,2345258
REP0000408,20250711,ACC0015482,BR0212,VL001,18634,2570102
REP0000409,20241214,ACC0030403,BR0022,BL001,18757,3225068
REP0000410,20240729,ACC0059315,BR0226,BL001,48083,4136853
REP0000411,20230418,ACC0093040,BR0047,PL001,8893,170482
REP0000412,20231016,ACC0020674,BR0491,VL001,48986,2599277
REP0000413,20240624,ACC0002920,BR0132,BL001,49809,4964918
REP0000414,20250520,ACC0020661,BR0413,VL001,48570,4168308
REP0000415,20250102,ACC0089312,BR0431,HL001,4241,1755977
REP0000416,20230412,ACC0096232,BR0391,EL001,48302,2515405
REP0000417,20250928,ACC0025236,BR0478,HL001,26879,4050318
REP0000418,20250213,ACC0047059,BR0190,PL001,23311,2243991
REP0000419,20241231,ACC0034509,BR0041,PL001,8034,131522
REP0000420,20251202,ACC0032850,BR0201,PL001,39688,2377517
REP0000421,20240915,ACC0089004,BR0256,VL001,33744,1871487
REP0000422,20250312,ACC0040543,BR0397,PL001,23210,3041809
REP0000423,20230628,ACC0087565,BR0122,BL001,37211,3501494
REP0000424,20230730,ACC0082877,BR0279,BL001,48181,237750
